"Fisktegund","¶slëgt","skip","id","date","gear","harbour"
"Ufsi",242,"967","564779","10.04.2017","Net","çorl†kshîfn"
"ósa",649,"967","564779","10.04.2017","Net","çorl†kshîfn"
"Keila",31,"967","564779","10.04.2017","Net","çorl†kshîfn"
"Langa",99,"967","564779","10.04.2017","Net","çorl†kshîfn"
"Skarkoli",4,"967","564779","10.04.2017","Net","çorl†kshîfn"
"çorskur",9331,"967","564779","10.04.2017","Net","çorl†kshîfn"
"Ufsi",442,"967","564780","09.04.2017","Net","çorl†kshîfn"
"ósa",698,"967","564780","09.04.2017","Net","çorl†kshîfn"
"Keila",36,"967","564780","09.04.2017","Net","çorl†kshîfn"
"Langa",333,"967","564780","09.04.2017","Net","çorl†kshîfn"
"Skarkoli",17,"967","564780","09.04.2017","Net","çorl†kshîfn"
"çorskur",20875,"967","564780","09.04.2017","Net","çorl†kshîfn"
"Ufsi",244,"967","564781","08.04.2017","Net","çorl†kshîfn"
"ósa",112,"967","564781","08.04.2017","Net","çorl†kshîfn"
"Keila",92,"967","564781","08.04.2017","Net","çorl†kshîfn"
"Langa",90,"967","564781","08.04.2017","Net","çorl†kshîfn"
"çorskur",7332,"967","564781","08.04.2017","Net","çorl†kshîfn"
"Ufsi",114,"967","564812","07.04.2017","Net","çorl†kshîfn"
"ósa",14,"967","564812","07.04.2017","Net","çorl†kshîfn"
"Keila",113,"967","564812","07.04.2017","Net","çorl†kshîfn"
"Langa",110,"967","564812","07.04.2017","Net","çorl†kshîfn"
"çorskur",33548,"967","564812","07.04.2017","Net","çorl†kshîfn"
"Skîtuselur",6,"967","564812","07.04.2017","Net","çorl†kshîfn"
"Ufsi",869,"967","564810","06.04.2017","Net","çorl†kshîfn"
"ósa",30,"967","564810","06.04.2017","Net","çorl†kshîfn"
"Keila",28,"967","564810","06.04.2017","Net","çorl†kshîfn"
"Langa",115,"967","564810","06.04.2017","Net","çorl†kshîfn"
"çorskur",22910,"967","564810","06.04.2017","Net","çorl†kshîfn"
"Ufsi",65,"967","564809","05.04.2017","Net","çorl†kshîfn"
"ósa",96,"967","564809","05.04.2017","Net","çorl†kshîfn"
"Langa",111,"967","564809","05.04.2017","Net","çorl†kshîfn"
"Skarkoli",20,"967","564809","05.04.2017","Net","çorl†kshîfn"
"çorskur",7157,"967","564809","05.04.2017","Net","çorl†kshîfn"
"Ufsi",455,"967","564808","03.04.2017","Net","çorl†kshîfn"
"ósa",210,"967","564808","03.04.2017","Net","çorl†kshîfn"
"Langa",129,"967","564808","03.04.2017","Net","çorl†kshîfn"
"çorskur",4675,"967","564808","03.04.2017","Net","çorl†kshîfn"
"Skîtuselur",10,"967","564808","03.04.2017","Net","çorl†kshîfn"
"Ufsi",750,"967","564806","01.04.2017","Net","çorl†kshîfn"
"ósa",781,"967","564806","01.04.2017","Net","çorl†kshîfn"
"Langa",113,"967","564806","01.04.2017","Net","çorl†kshîfn"
"çorskur",20145,"967","564806","01.04.2017","Net","çorl†kshîfn"
"Ufsi",3245,"967","570803","31.03.2017","Net","Grindav°k"
"ósa",121,"967","570803","31.03.2017","Net","Grindav°k"
"Langa",149,"967","570803","31.03.2017","Net","Grindav°k"
"çorskur",26801,"967","570803","31.03.2017","Net","Grindav°k"
"Ufsi",520,"967","570802","30.03.2017","Net","Grindav°k"
"ósa",51,"967","570802","30.03.2017","Net","Grindav°k"
"Langa",404,"967","570802","30.03.2017","Net","Grindav°k"
"çorskur",29537,"967","570802","30.03.2017","Net","Grindav°k"
"Ufsi",11,"967","562326","27.03.2017","Net","Stykkish¢lmur"
"ósa",181,"967","562326","27.03.2017","Net","Stykkish¢lmur"
"Langa",23,"967","562326","27.03.2017","Net","Stykkish¢lmur"
"çorskur",25490,"967","562326","27.03.2017","Net","Stykkish¢lmur"
"ósa",79,"967","562145","26.03.2017","Net","Stykkish¢lmur"
"çorskur",19001,"967","562145","26.03.2017","Net","Stykkish¢lmur"
"çorskur",58889,"967","562100","23.03.2017","Net","Stykkish¢lmur"
"Ufsi",33183,"967","561988","22.03.2017","Net","Stykkish¢lmur"
"ósa",158,"967","561988","22.03.2017","Net","Stykkish¢lmur"
"Langa",328,"967","561988","22.03.2017","Net","Stykkish¢lmur"
"çorskur",11055,"967","561988","22.03.2017","Net","Stykkish¢lmur"
"ósa",35,"967","561307","17.03.2017","Net","Stykkish¢lmur"
"Skarkoli",188,"967","561307","17.03.2017","Net","Stykkish¢lmur"
"çorskur",25783,"967","561307","17.03.2017","Net","Stykkish¢lmur"
"Skarkoli",180,"967","561216","16.03.2017","Net","Stykkish¢lmur"
"çorskur",17312,"967","561216","16.03.2017","Net","Stykkish¢lmur"
"Ufsi",14,"967","561118","15.03.2017","Net","Stykkish¢lmur"
"ósa",50,"967","561118","15.03.2017","Net","Stykkish¢lmur"
"Langa",6,"967","561118","15.03.2017","Net","Stykkish¢lmur"
"Skarkoli",50,"967","561118","15.03.2017","Net","Stykkish¢lmur"
"çorskur",47199,"967","561118","15.03.2017","Net","Stykkish¢lmur"
"Steinb°tur",4,"967","561118","15.03.2017","Net","Stykkish¢lmur"
"Ufsi",23165,"967","560879","14.03.2017","Net","Stykkish¢lmur"
"ósa",358,"967","560879","14.03.2017","Net","Stykkish¢lmur"
"Langa",305,"967","560879","14.03.2017","Net","Stykkish¢lmur"
"çorskur",26137,"967","560879","14.03.2017","Net","Stykkish¢lmur"
"Ufsi",57324,"967","560624","11.03.2017","Net","¶lafsv°k"
"ósa",308,"967","560624","11.03.2017","Net","¶lafsv°k"
"Langa",238,"967","560624","11.03.2017","Net","¶lafsv°k"
"çorskur",19744,"967","560624","11.03.2017","Net","¶lafsv°k"
"ósa",24,"967","560366","08.03.2017","Net","Stykkish¢lmur"
"Skarkoli",80,"967","560366","08.03.2017","Net","Stykkish¢lmur"
"çorskur",26025,"967","560366","08.03.2017","Net","Stykkish¢lmur"
"Steinb°tur",26,"967","560366","08.03.2017","Net","Stykkish¢lmur"
"Skarkoli",61,"967","560154","07.03.2017","Net","Stykkish¢lmur"
"çorskur",8982,"967","560154","07.03.2017","Net","Stykkish¢lmur"
"ósa",10,"967","560019","06.03.2017","Net","Stykkish¢lmur"
"Skarkoli",100,"967","560019","06.03.2017","Net","Stykkish¢lmur"
"çorskur",35262,"967","560019","06.03.2017","Net","Stykkish¢lmur"
"Steinb°tur",7,"967","560019","06.03.2017","Net","Stykkish¢lmur"
"ósa",15,"967","559646","02.03.2017","Net","Stykkish¢lmur"
"Skarkoli",701,"967","559646","02.03.2017","Net","Stykkish¢lmur"
"çorskur",27339,"967","559646","02.03.2017","Net","Stykkish¢lmur"
"Steinb°tur",36,"967","559646","02.03.2017","Net","Stykkish¢lmur"
"Skarkoli",107,"967","559494","01.03.2017","Net","Stykkish¢lmur"
"çorskur",45845,"967","559494","01.03.2017","Net","Stykkish¢lmur"
"Ufsi",10,"967","559257","28.02.2017","Net","Stykkish¢lmur"
"ósa",17,"967","559257","28.02.2017","Net","Stykkish¢lmur"
"Langa",30,"967","559257","28.02.2017","Net","Stykkish¢lmur"
"Skarkoli",102,"967","559257","28.02.2017","Net","Stykkish¢lmur"
"çorskur",23568,"967","559257","28.02.2017","Net","Stykkish¢lmur"
"çorskur",10020,"967","559101","27.02.2017","Net","Stykkish¢lmur"
"çorskur",13208,"967","558976","26.02.2017","Net","Stykkish¢lmur"
"çorskur",25063,"967","558886","23.02.2017","Net","Stykkish¢lmur"
"Ufsi",35,"967","558802","22.02.2017","Net","Stykkish¢lmur"
"ósa",7,"967","558802","22.02.2017","Net","Stykkish¢lmur"
"çorskur",36879,"967","558802","22.02.2017","Net","Stykkish¢lmur"
"Gr†l£åa",3,"967","558802","22.02.2017","Net","Stykkish¢lmur"
"Skarkoli",49,"967","558654","21.02.2017","Net","Stykkish¢lmur"
"çorskur",29689,"967","558654","21.02.2017","Net","Stykkish¢lmur"
"Ufsi",277,"967","554420","14.12.2016","Net","Stykkish¢lmur"
"ósa",26,"967","554420","14.12.2016","Net","Stykkish¢lmur"
"Langa",46,"967","554420","14.12.2016","Net","Stykkish¢lmur"
"Skarkoli",1408,"967","554420","14.12.2016","Net","Stykkish¢lmur"
"çorskur",67900,"967","554420","14.12.2016","Net","Stykkish¢lmur"
"Skîtuselur",243,"967","554420","14.12.2016","Net","Stykkish¢lmur"
"Skarkoli",1030,"967","554144","11.12.2016","Net","Flateyri"
"çorskur",53868,"967","554144","11.12.2016","Net","Flateyri"
"Skîtuselur",46,"967","554144","11.12.2016","Net","Flateyri"
"Ufsi",88,"967","554074","09.12.2016","Net","¶lafsv°k"
"Skarkoli",305,"967","554074","09.12.2016","Net","¶lafsv°k"
"çorskur",14886,"967","554074","09.12.2016","Net","¶lafsv°k"
"Ufsi",736,"967","553946","08.12.2016","Net","Stykkish¢lmur"
"Langa",58,"967","553946","08.12.2016","Net","Stykkish¢lmur"
"Skarkoli",1270,"967","553946","08.12.2016","Net","Stykkish¢lmur"
"çorskur",48495,"967","553946","08.12.2016","Net","Stykkish¢lmur"
"Skîtuselur",81,"967","553946","08.12.2016","Net","Stykkish¢lmur"
"ósa",29,"967","553413","02.12.2016","Net","Stykkish¢lmur"
"Langa",41,"967","553413","02.12.2016","Net","Stykkish¢lmur"
"Skarkoli",176,"967","553413","02.12.2016","Net","Stykkish¢lmur"
"çorskur",19764,"967","553413","02.12.2016","Net","Stykkish¢lmur"
"Skîtuselur",19,"967","553413","02.12.2016","Net","Stykkish¢lmur"
"Ufsi",193,"967","553128","30.11.2016","Net","Stykkish¢lmur"
"ósa",73,"967","553128","30.11.2016","Net","Stykkish¢lmur"
"Keila",7,"967","553128","30.11.2016","Net","Stykkish¢lmur"
"Langa",54,"967","553128","30.11.2016","Net","Stykkish¢lmur"
"Skarkoli",570,"967","553128","30.11.2016","Net","Stykkish¢lmur"
"çorskur",48275,"967","553128","30.11.2016","Net","Stykkish¢lmur"
"Skîtuselur",102,"967","553128","30.11.2016","Net","Stykkish¢lmur"
"Ufsi",669,"967","552751","25.11.2016","Net","Stykkish¢lmur"
"ósa",8,"967","552751","25.11.2016","Net","Stykkish¢lmur"
"Langa",49,"967","552751","25.11.2016","Net","Stykkish¢lmur"
"Hlòri",12,"967","552751","25.11.2016","Net","Stykkish¢lmur"
"Skarkoli",1513,"967","552751","25.11.2016","Net","Stykkish¢lmur"
"çorskur",50321,"967","552751","25.11.2016","Net","Stykkish¢lmur"
"Skîtuselur",168,"967","552751","25.11.2016","Net","Stykkish¢lmur"
"ósa",68,"967","552011","18.11.2016","Net","Stykkish¢lmur"
"Langa",35,"967","552011","18.11.2016","Net","Stykkish¢lmur"
"Skarkoli",63,"967","552011","18.11.2016","Net","Stykkish¢lmur"
"çorskur",20676,"967","552011","18.11.2016","Net","Stykkish¢lmur"
"Skîtuselur",19,"967","552011","18.11.2016","Net","Stykkish¢lmur"
"Ufsi",15,"967","551711","10.11.2016","L°na","Stykkish¢lmur"
"ósa",2164,"967","551711","10.11.2016","L°na","Stykkish¢lmur"
"Keila",1203,"967","551711","10.11.2016","L°na","Stykkish¢lmur"
"Hlòri",309,"967","551711","10.11.2016","L°na","Stykkish¢lmur"
"çorskur",70220,"967","551711","10.11.2016","L°na","Stykkish¢lmur"
"Gr†l£åa",73,"967","551711","10.11.2016","L°na","Stykkish¢lmur"
"Steinb°tur",171,"967","551711","10.11.2016","L°na","Stykkish¢lmur"
"Karfi / Gullkarfi",208,"967","551711","10.11.2016","L°na","Stykkish¢lmur"
"ósa",33,"967","551103","05.11.2016","L°na","Vopnafjîråur"
"Keila",1166,"967","551103","05.11.2016","L°na","Vopnafjîråur"
"Hlòri",810,"967","551103","05.11.2016","L°na","Vopnafjîråur"
"çorskur",72595,"967","551103","05.11.2016","L°na","Vopnafjîråur"
"Gr†l£åa",877,"967","551103","05.11.2016","L°na","Vopnafjîråur"
"Tindaskata",62,"967","551103","05.11.2016","L°na","Vopnafjîråur"
"Karfi / Gullkarfi",706,"967","551103","05.11.2016","L°na","Vopnafjîråur"
"Ufsi",19,"967","550277","27.10.2016","L°na","Raufarhîfn"
"ósa",1574,"967","550277","27.10.2016","L°na","Raufarhîfn"
"Keila",832,"967","550277","27.10.2016","L°na","Raufarhîfn"
"Hlòri",731,"967","550277","27.10.2016","L°na","Raufarhîfn"
"çorskur",61137,"967","550277","27.10.2016","L°na","Raufarhîfn"
"Gr†l£åa",392,"967","550277","27.10.2016","L°na","Raufarhîfn"
"Tindaskata",19,"967","550277","27.10.2016","L°na","Raufarhîfn"
"Steinb°tur",59,"967","550277","27.10.2016","L°na","Raufarhîfn"
"Karfi / Gullkarfi",584,"967","550277","27.10.2016","L°na","Raufarhîfn"
"ósa",701,"967","549794","23.10.2016","L°na","Vopnafjîråur"
"Keila",1672,"967","549794","23.10.2016","L°na","Vopnafjîråur"
"Hlòri",670,"967","549794","23.10.2016","L°na","Vopnafjîråur"
"çorskur",47505,"967","549794","23.10.2016","L°na","Vopnafjîråur"
"Gr†l£åa",10,"967","549794","23.10.2016","L°na","Vopnafjîråur"
"Tindaskata",1226,"967","549794","23.10.2016","L°na","Vopnafjîråur"
"Steinb°tur",200,"967","549794","23.10.2016","L°na","Vopnafjîråur"
"Karfi / Gullkarfi",577,"967","549794","23.10.2016","L°na","Vopnafjîråur"
"Ufsi",2,"967","549592","19.10.2016","L°na","Vopnafjîråur"
"Keila",941,"967","549592","19.10.2016","L°na","Vopnafjîråur"
"Hlòri",499,"967","549592","19.10.2016","L°na","Vopnafjîråur"
"çorskur",65729,"967","549592","19.10.2016","L°na","Vopnafjîråur"
"Gr†l£åa",73,"967","549592","19.10.2016","L°na","Vopnafjîråur"
"Steinb°tur",36,"967","549592","19.10.2016","L°na","Vopnafjîråur"
"Karfi / Gullkarfi",1005,"967","549592","19.10.2016","L°na","Vopnafjîråur"
"Ufsi",20,"967","548967","15.10.2016","L°na","Raufarhîfn"
"ósa",9725,"967","548967","15.10.2016","L°na","Raufarhîfn"
"Keila",280,"967","548967","15.10.2016","L°na","Raufarhîfn"
"Hlòri",561,"967","548967","15.10.2016","L°na","Raufarhîfn"
"çorskur",54675,"967","548967","15.10.2016","L°na","Raufarhîfn"
"Steinb°tur",229,"967","548967","15.10.2016","L°na","Raufarhîfn"
"Karfi / Gullkarfi",224,"967","548967","15.10.2016","L°na","Raufarhîfn"
"Ufsi",50,"967","548171","06.10.2016","L°na","Raufarhîfn"
"ósa",3036,"967","548171","06.10.2016","L°na","Raufarhîfn"
"Keila",452,"967","548171","06.10.2016","L°na","Raufarhîfn"
"Hlòri",438,"967","548171","06.10.2016","L°na","Raufarhîfn"
"çorskur",35607,"967","548171","06.10.2016","L°na","Raufarhîfn"
"Gr†l£åa",33,"967","548171","06.10.2016","L°na","Raufarhîfn"
"Steinb°tur",167,"967","548171","06.10.2016","L°na","Raufarhîfn"
"Karfi / Gullkarfi",441,"967","548171","06.10.2016","L°na","Raufarhîfn"
"ósa",6980,"967","547852","02.10.2016","L°na","Raufarhîfn"
"Keila",501,"967","547852","02.10.2016","L°na","Raufarhîfn"
"Hlòri",1509,"967","547852","02.10.2016","L°na","Raufarhîfn"
"çorskur",54936,"967","547852","02.10.2016","L°na","Raufarhîfn"
"Gr†l£åa",14,"967","547852","02.10.2016","L°na","Raufarhîfn"
"Steinb°tur",137,"967","547852","02.10.2016","L°na","Raufarhîfn"
"Karfi / Gullkarfi",292,"967","547852","02.10.2016","L°na","Raufarhîfn"
"Ufsi",70,"967","547341","28.09.2016","L°na","Raufarhîfn"
"ósa",11598,"967","547341","28.09.2016","L°na","Raufarhîfn"
"Keila",589,"967","547341","28.09.2016","L°na","Raufarhîfn"
"Hlòri",110,"967","547341","28.09.2016","L°na","Raufarhîfn"
"çorskur",58148,"967","547341","28.09.2016","L°na","Raufarhîfn"
"Steinb°tur",349,"967","547341","28.09.2016","L°na","Raufarhîfn"
"Karfi / Gullkarfi",47,"967","547341","28.09.2016","L°na","Raufarhîfn"
"Ufsi",60,"967","546967","24.09.2016","L°na","Raufarhîfn"
"ósa",12258,"967","546967","24.09.2016","L°na","Raufarhîfn"
"Keila",364,"967","546967","24.09.2016","L°na","Raufarhîfn"
"Hlòri",191,"967","546967","24.09.2016","L°na","Raufarhîfn"
"çorskur",54845,"967","546967","24.09.2016","L°na","Raufarhîfn"
"Steinb°tur",550,"967","546967","24.09.2016","L°na","Raufarhîfn"
"Karfi / Gullkarfi",81,"967","546967","24.09.2016","L°na","Raufarhîfn"
"ósa",1717,"967","545758","15.09.2016","L°na","Raufarhîfn"
"Keila",969,"967","545758","15.09.2016","L°na","Raufarhîfn"
"Hlòri",2028,"967","545758","15.09.2016","L°na","Raufarhîfn"
"çorskur",59165,"967","545758","15.09.2016","L°na","Raufarhîfn"
"Gr†l£åa",159,"967","545758","15.09.2016","L°na","Raufarhîfn"
"Karfi / Gullkarfi",730,"967","545758","15.09.2016","L°na","Raufarhîfn"
"ósa",6144,"967","545140","10.09.2016","L°na","Raufarhîfn"
"Keila",1554,"967","545140","10.09.2016","L°na","Raufarhîfn"
"Hlòri",578,"967","545140","10.09.2016","L°na","Raufarhîfn"
"çorskur",57498,"967","545140","10.09.2016","L°na","Raufarhîfn"
"Steinb°tur",473,"967","545140","10.09.2016","L°na","Raufarhîfn"
"Karfi / Gullkarfi",876,"967","545140","10.09.2016","L°na","Raufarhîfn"
"Ufsi",32,"967","544505","05.09.2016","L°na","Raufarhîfn"
"ósa",1614,"967","544505","05.09.2016","L°na","Raufarhîfn"
"Keila",566,"967","544505","05.09.2016","L°na","Raufarhîfn"
"Hlòri",1613,"967","544505","05.09.2016","L°na","Raufarhîfn"
"çorskur",46668,"967","544505","05.09.2016","L°na","Raufarhîfn"
"Steinb°tur",166,"967","544505","05.09.2016","L°na","Raufarhîfn"
"Karfi / Gullkarfi",1182,"967","544505","05.09.2016","L°na","Raufarhîfn"
"Ufsi",7,"1028","595896","25.08.2017","Dragn¢t 135 mm","Rif"
"ósa",498,"1028","595896","25.08.2017","Dragn¢t 135 mm","Rif"
"L£åa",12,"1028","595896","25.08.2017","Dragn¢t 135 mm","Rif"
"Skarkoli",496,"1028","595896","25.08.2017","Dragn¢t 135 mm","Rif"
"çorskur",6277,"1028","595896","25.08.2017","Dragn¢t 135 mm","Rif"
"Steinb°tur",53,"1028","595896","25.08.2017","Dragn¢t 135 mm","Rif"
"Karfi / Gullkarfi",17,"1028","595896","25.08.2017","Dragn¢t 135 mm","Rif"
"çykkval£ra / S¢lkoli",14,"1028","595896","25.08.2017","Dragn¢t 135 mm","Rif"
"Ufsi",520,"1028","595469","23.08.2017","Dragn¢t 135 mm","Bolungarv°k"
"ósa",1061,"1028","595469","23.08.2017","Dragn¢t 135 mm","Bolungarv°k"
"L£åa",11,"1028","595469","23.08.2017","Dragn¢t 135 mm","Bolungarv°k"
"Skarkoli",1058,"1028","595469","23.08.2017","Dragn¢t 135 mm","Bolungarv°k"
"çorskur",12771,"1028","595469","23.08.2017","Dragn¢t 135 mm","Bolungarv°k"
"Skîtuselur",7,"1028","595469","23.08.2017","Dragn¢t 135 mm","Bolungarv°k"
"Steinb°tur",124,"1028","595469","23.08.2017","Dragn¢t 135 mm","Bolungarv°k"
"Karfi / Gullkarfi",53,"1028","595469","23.08.2017","Dragn¢t 135 mm","Bolungarv°k"
"çykkval£ra / S¢lkoli",43,"1028","595469","23.08.2017","Dragn¢t 135 mm","Bolungarv°k"
"Ufsi",32,"1028","595234","22.08.2017","Dragn¢t 135 mm","Bolungarv°k"
"ósa",615,"1028","595234","22.08.2017","Dragn¢t 135 mm","Bolungarv°k"
