"Fisktegund","¶slëgt","skip","id","date","gear","harbour"
"çorskur",3876,"926","566413","27.04.2017","Net","Keflav°k"
"Ufsi",85,"926","566228","26.04.2017","Net","Keflav°k"
"çorskur",5444,"926","566228","26.04.2017","Net","Keflav°k"
"Ufsi",136,"926","566073","25.04.2017","Net","Keflav°k"
"çorskur",9020,"926","566073","25.04.2017","Net","Keflav°k"
"Ufsi",164,"926","565785","24.04.2017","Net","Keflav°k"
"çorskur",6858,"926","565785","24.04.2017","Net","Keflav°k"
"Ufsi",298,"926","565598","23.04.2017","Net","Keflav°k"
"çorskur",15010,"926","565598","23.04.2017","Net","Keflav°k"
"Ufsi",81,"926","565329","22.04.2017","Net","Keflav°k"
"çorskur",6223,"926","565329","22.04.2017","Net","Keflav°k"
"Ufsi",42,"926","563937","07.04.2017","Net","Keflav°k"
"Langa",45,"926","563937","07.04.2017","Net","Keflav°k"
"Skarkoli",74,"926","563937","07.04.2017","Net","Keflav°k"
"çorskur",3968,"926","563937","07.04.2017","Net","Keflav°k"
"Ufsi",42,"926","563658","05.04.2017","Net","Keflav°k"
"çorskur",2925,"926","563658","05.04.2017","Net","Keflav°k"
"çorskur",601,"926","563299","01.04.2017","Net","Keflav°k"
"Ufsi",83,"926","563163","31.03.2017","Net","Keflav°k"
"çorskur",13031,"926","563163","31.03.2017","Net","Keflav°k"
"çorskur",10070,"926","562979","30.03.2017","Net","Keflav°k"
"Ufsi",186,"926","562779","29.03.2017","Net","Keflav°k"
"çorskur",7162,"926","562779","29.03.2017","Net","Keflav°k"
"Ufsi",77,"926","562547","28.03.2017","Net","Keflav°k"
"çorskur",7569,"926","562547","28.03.2017","Net","Keflav°k"
"çorskur",13526,"926","562346","27.03.2017","Net","Keflav°k"
"çorskur",1374,"926","562140","26.03.2017","Net","Keflav°k"
"çorskur",11783,"926","561977","22.03.2017","Net","Keflav°k"
"çorskur",7349,"926","561691","21.03.2017","Net","Keflav°k"
"Ufsi",124,"926","561524","20.03.2017","Net","Keflav°k"
"çorskur",8652,"926","561524","20.03.2017","Net","Keflav°k"
"çorskur",7650,"926","561438","19.03.2017","Net","Keflav°k"
"çorskur",6713,"926","561412","18.03.2017","Net","Keflav°k"
"Ufsi",71,"926","561289","17.03.2017","Net","Keflav°k"
"Skarkoli",23,"926","561289","17.03.2017","Net","Keflav°k"
"çorskur",4473,"926","561289","17.03.2017","Net","Keflav°k"
"Steinb°tur",11,"926","561289","17.03.2017","Net","Keflav°k"
"çorskur",4383,"926","561175","16.03.2017","Net","Keflav°k"
"çorskur",3111,"926","561025","15.03.2017","Net","Keflav°k"
"Ufsi",127,"926","560585","10.03.2017","Net","Keflav°k"
"Langa",45,"926","560585","10.03.2017","Net","Keflav°k"
"çorskur",5265,"926","560585","10.03.2017","Net","Keflav°k"
"Ufsi",169,"926","560464","09.03.2017","Net","Keflav°k"
"Skarkoli",20,"926","560464","09.03.2017","Net","Keflav°k"
"çorskur",8592,"926","560464","09.03.2017","Net","Keflav°k"
"Ufsi",73,"926","560304","08.03.2017","Net","Keflav°k"
"çorskur",5476,"926","560304","08.03.2017","Net","Keflav°k"
"Ufsi",39,"926","560190","07.03.2017","Net","Keflav°k"
"Langa",18,"926","560190","07.03.2017","Net","Keflav°k"
"çorskur",12340,"926","560190","07.03.2017","Net","Keflav°k"
"çorskur",5870,"926","559723","03.03.2017","Net","Raufarhîfn"
"Ufsi",36,"926","559611","02.03.2017","Net","Raufarhîfn"
"ósa",79,"926","559611","02.03.2017","Net","Raufarhîfn"
"çorskur",14879,"926","559611","02.03.2017","Net","Raufarhîfn"
"Karfi / Gullkarfi",25,"926","559611","02.03.2017","Net","Raufarhîfn"
"Ufsi",13,"926","559397","01.03.2017","Net","Raufarhîfn"
"ósa",71,"926","559397","01.03.2017","Net","Raufarhîfn"
"çorskur",12017,"926","559397","01.03.2017","Net","Raufarhîfn"
"Karfi / Gullkarfi",43,"926","559397","01.03.2017","Net","Raufarhîfn"
"Ufsi",11429,"967","574102","29.05.2017","Net","Stykkish¢lmur"
"ósa",252,"967","574102","29.05.2017","Net","Stykkish¢lmur"
"Keila",66,"967","574102","29.05.2017","Net","Stykkish¢lmur"
"Langa",33659,"967","574102","29.05.2017","Net","Stykkish¢lmur"
"çorskur",16474,"967","574102","29.05.2017","Net","Stykkish¢lmur"
"Skîtuselur",78,"967","574102","29.05.2017","Net","Stykkish¢lmur"
"Ufsi",7614,"967","573084","23.05.2017","Net","çorl†kshîfn"
"ósa",461,"967","573084","23.05.2017","Net","çorl†kshîfn"
"Keila",111,"967","573084","23.05.2017","Net","çorl†kshîfn"
"Langa",37469,"967","573084","23.05.2017","Net","çorl†kshîfn"
"çorskur",15575,"967","573084","23.05.2017","Net","çorl†kshîfn"
"Skîtuselur",89,"967","573084","23.05.2017","Net","çorl†kshîfn"
"Steinb°tur",37,"967","573084","23.05.2017","Net","çorl†kshîfn"
"Ufsi",2939,"967","571587","19.05.2017","Net","çorl†kshîfn"
"ósa",492,"967","571587","19.05.2017","Net","çorl†kshîfn"
"Keila",386,"967","571587","19.05.2017","Net","çorl†kshîfn"
"Langa",48149,"967","571587","19.05.2017","Net","çorl†kshîfn"
"çorskur",11756,"967","571587","19.05.2017","Net","çorl†kshîfn"
"Skîtuselur",97,"967","571587","19.05.2017","Net","çorl†kshîfn"
"Ufsi",15,"967","568232","05.05.2017","Net","Stykkish¢lmur"
"ósa",74,"967","568232","05.05.2017","Net","Stykkish¢lmur"
"Skarkoli",560,"967","568232","05.05.2017","Net","Stykkish¢lmur"
"çorskur",31873,"967","568232","05.05.2017","Net","Stykkish¢lmur"
"ósa",63,"967","567970","04.05.2017","Net","Stykkish¢lmur"
"Skarkoli",659,"967","567970","04.05.2017","Net","Stykkish¢lmur"
"çorskur",38013,"967","567970","04.05.2017","Net","Stykkish¢lmur"
"ósa",87,"967","567479","03.05.2017","Net","Stykkish¢lmur"
"Skarkoli",595,"967","567479","03.05.2017","Net","Stykkish¢lmur"
"çorskur",48977,"967","567479","03.05.2017","Net","Stykkish¢lmur"
"Ufsi",13,"967","567071","02.05.2017","Net","Stykkish¢lmur"
"ósa",96,"967","567071","02.05.2017","Net","Stykkish¢lmur"
"Skarkoli",962,"967","567071","02.05.2017","Net","Stykkish¢lmur"
"çorskur",54594,"967","567071","02.05.2017","Net","Stykkish¢lmur"
"Ufsi",10,"967","566592","28.04.2017","Net","Stykkish¢lmur"
"ósa",73,"967","566592","28.04.2017","Net","Stykkish¢lmur"
"Skarkoli",388,"967","566592","28.04.2017","Net","Stykkish¢lmur"
"çorskur",27450,"967","566592","28.04.2017","Net","Stykkish¢lmur"
"ósa",125,"967","566477","27.04.2017","Net","Stykkish¢lmur"
"Skarkoli",949,"967","566477","27.04.2017","Net","Stykkish¢lmur"
"çorskur",25726,"967","566477","27.04.2017","Net","Stykkish¢lmur"
"Skarkoli",970,"967","566318","26.04.2017","Net","Stykkish¢lmur"
"çorskur",24626,"967","566318","26.04.2017","Net","Stykkish¢lmur"
"ósa",32,"967","566159","25.04.2017","Net","Stykkish¢lmur"
"Skarkoli",1117,"967","566159","25.04.2017","Net","Stykkish¢lmur"
"çorskur",25471,"967","566159","25.04.2017","Net","Stykkish¢lmur"
"ósa",88,"967","565916","24.04.2017","Net","Stykkish¢lmur"
"Skarkoli",1409,"967","565916","24.04.2017","Net","Stykkish¢lmur"
"çorskur",27806,"967","565916","24.04.2017","Net","Stykkish¢lmur"
"Skarkoli",1032,"967","565643","23.04.2017","Net","Stykkish¢lmur"
"çorskur",30574,"967","565643","23.04.2017","Net","Stykkish¢lmur"
"Skarkoli",1200,"967","565519","22.04.2017","Net","Stykkish¢lmur"
"çorskur",73281,"967","565519","22.04.2017","Net","Stykkish¢lmur"
"Skarkoli",17,"967","564911","18.04.2017","Net","Stykkish¢lmur"
"çorskur",1756,"967","564911","18.04.2017","Net","Stykkish¢lmur"
"Ufsi",115,"967","564778","11.04.2017","Net","çorl†kshîfn"
"Keila",140,"967","564778","11.04.2017","Net","çorl†kshîfn"
"Langa",415,"967","564778","11.04.2017","Net","çorl†kshîfn"
"çorskur",6627,"967","564778","11.04.2017","Net","çorl†kshîfn"
